"valor","tipo","data-expedição","data-envio","fk-func"
"7564946-5","RG","2014-02-19","2021-04-26","337"
"842389268672","Titulo","2016-01-24","2021-04-05","337"
"182792581-44","CPF","2020-06-20","2021-02-15","338"
"6965998-6","RG","2015-11-03","2021-01-16","338"
"368477364449","Titulo","2005-10-20","2021-01-15","338"
"722364128-77","CPF","2008-12-08","2021-04-29","339"
"4238748-6","RG","2013-12-13","2021-02-11","339"
"763242677124","Titulo","2018-12-28","2021-02-10","339"
"374652287-84","CPF","2019-10-18","2021-03-06","340"
"2496868-8","RG","2006-10-23","2021-02-01","340"
"586522437762","Titulo","2014-07-11","2021-01-04","340"
"843778822-71","CPF","2009-09-17","2021-04-12","341"
"2439565-5","RG","2012-01-02","2021-01-06","341"
"336269624758","Titulo","2006-02-14","2021-02-15","341"
"351225449-35","CPF","2016-08-05","2021-02-20","342"
"3313746-8","RG","2005-11-02","2021-04-17","342"
"347526744525","Titulo","2015-11-24","2021-04-16","342"
"153759636-75","CPF","2009-06-23","2021-04-22","343"
"1929527-3","RG","2013-11-24","2021-01-13","343"
"749616947574","Titulo","2012-01-15","2021-01-24","343"
"638363926-84","CPF","2020-08-03","2021-03-02","344"
"2882565-6","RG","2013-05-16","2021-04-11","344"
"625437527842","Titulo","2006-10-08","2021-02-20","344"
"187851386-33","CPF","2009-04-10","2021-02-26","345"
"6621222-2","RG","2019-10-25","2021-01-14","345"
"392817343822","Titulo","2019-12-12","2021-01-03","345"
"917685539-77","CPF","2013-04-09","2021-04-25","346"
"4586848-8","RG","2016-08-04","2021-02-02","346"
"274452548724","Titulo","2006-05-27","2021-01-22","346"
"552584431-54","CPF","2016-09-10","2021-03-13","347"
"9332353-8","RG","2017-03-17","2021-02-08","347"
"685892473536","Titulo","2010-04-04","2021-04-28","347"
"482452366-74","CPF","2019-03-14","2021-02-20","348"
"8766636-8","RG","2018-10-09","2021-01-23","348"
"664128575856","Titulo","2010-07-19","2021-02-01","348"
"378557973-31","CPF","2008-01-09","2021-02-23","349"
"2815812-3","RG","2019-11-21","2021-03-01","349"
"781837964327","Titulo","2015-04-24","2021-04-19","349"
"877836788-82","CPF","2007-08-31","2021-03-06","350"
"8472725-2","RG","2007-09-20","2021-02-17","350"
"226256845647","Titulo","2019-12-15","2021-01-26","350"
"473273822-74","CPF","2005-12-24","2021-02-14","351"
"2546874-8","RG","2009-11-02","2021-01-29","351"
"852763469962","Titulo","2020-09-03","2021-04-04","351"
"452236456-22","CPF","2013-02-15","2021-02-06","352"
"7246969-2","RG","2008-08-14","2021-01-26","352"
"838535989874","Titulo","2018-01-08","2021-02-23","352"
"249535477-45","CPF","2008-11-14","2021-04-27","353"
"7343565-7","RG","2018-07-28","2021-05-02","353"
"525868385276","Titulo","2013-02-26","2021-02-07","353"
"312252898-38","CPF","2018-01-17","2021-03-29","354"
"7237757-4","RG","2006-12-29","2021-04-08","354"
"755344344622","Titulo","2012-11-05","2021-03-23","354"
"584382325-77","CPF","2007-06-01","2021-04-21","355"
"8515382-6","RG","2012-12-05","2021-03-18","355"
"247595778554","Titulo","2005-07-09","2021-02-27","355"
"548972182-51","CPF","2005-05-07","2021-02-12","356"
"3188265-8","RG","2006-10-04","2021-03-11","356"
"538744867282","Titulo","2019-07-16","2021-01-24","356"
"886954586-12","CPF","2009-04-10","2021-02-03","357"
"4343643-5","RG","2006-03-10","2021-01-27","357"
"815923582397","Titulo","2019-07-24","2021-02-24","357"
"179136555-85","CPF","2010-12-04","2021-04-09","358"
"4219687-9","RG","2011-07-08","2021-04-09","358"
"356827668247","Titulo","2010-08-01","2021-01-07","358"
"476725322-34","CPF","2020-04-03","2021-03-01","359"
"3574315-2","RG","2014-07-13","2021-02-16","359"
"661682883524","Titulo","2011-11-17","2021-03-15","359"
"873754227-72","CPF","2007-05-15","2021-03-31","360"
"3582364-4","RG","2015-11-29","2021-04-29","360"
"842279548883","Titulo","2012-09-14","2021-03-12","360"
"332326462-35","CPF","2013-10-16","2021-02-06","361"
"4968673-3","RG","2019-11-23","2021-04-30","361"
"748541488542","Titulo","2007-08-29","2021-03-02","361"
"785526386-22","CPF","2011-06-05","2021-01-11","362"
"7528882-2","RG","2014-09-11","2021-02-01","362"
"643367428223","Titulo","2019-06-12","2021-04-17","362"
"463726841-85","CPF","2020-10-28","2021-02-03","363"
"5344657-4","RG","2012-09-08","2021-01-28","363"
"876789923253","Titulo","2010-02-05","2021-01-16","363"
"393152231-45","CPF","2012-01-22","2021-01-23","364"
"8283236-5","RG","2005-09-25","2021-01-09","364"
"883468295555","Titulo","2007-04-08","2021-04-30","364"
"639259423-34","CPF","2008-10-20","2021-03-11","365"
"3338876-8","RG","2007-02-02","2021-04-22","365"
"622266343715","Titulo","2008-01-07","2021-04-03","365"
"113751653-61","CPF","2008-05-31","2021-04-04","366"
"8668159-5","RG","2014-12-14","2021-02-17","366"
"497422576911","Titulo","2010-06-15","2021-04-18","366"
"356484513-95","CPF","2018-09-19","2021-01-20","367"
"6271143-7","RG","2008-12-02","2021-03-16","367"
"526438876764","Titulo","2019-06-17","2021-02-28","367"
"425526355-66","CPF","2005-02-17","2021-01-15","368"
"6747224-4","RG","2014-03-16","2021-03-30","368"
"245625229378","Titulo","2005-11-30","2021-04-18","368"
"415946859-83","CPF","2015-05-24","2021-04-08","369"
"7876465-8","RG","2018-05-22","2021-03-08","369"
"514652636431","Titulo","2012-12-04","2021-02-22","369"
"371352843-37","CPF","2014-12-14","2021-02-04","370"
"3834637-8","RG","2018-12-25","2021-01-19","370"
"823482276411","Titulo","2015-07-07","2021-03-19","370"
"245366288-88","CPF","2012-02-21","2021-03-16","371"
"7232228-4","RG","2019-06-22","2021-02-25","371"
"468773885462","Titulo","2014-01-22","2021-04-03","371"
"678517982-44","CPF","2018-07-02","2021-03-01","372"
"3288464-4","RG","2016-09-19","2021-02-03","372"
"768668897849","Titulo","2019-05-11","2021-01-02","372"
"258428885-65","CPF","2005-07-03","2021-04-29","373"
"7348732-5","RG","2009-03-21","2021-02-25","373"
"495825153532","Titulo","2009-12-19","2021-01-06","373"
"844443327-52","CPF","2020-05-27","2021-03-25","374"
"4888436-8","RG","2020-10-05","2021-01-03","374"
"663917358345","Titulo","2017-09-05","2021-05-01","374"
"482718215-43","CPF","2007-01-29","2021-01-27","375"
"4542885-3","RG","2007-01-02","2021-02-22","375"
"222736844166","Titulo","2007-08-02","2021-03-23","375"
"672853832-26","CPF","2017-11-14","2021-01-03","376"
"4737584-7","RG","2009-03-15","2021-04-30","376"
"963584759757","Titulo","2013-01-21","2021-02-19","376"
"312547313-66","CPF","2006-12-07","2021-02-09","377"
"4134567-5","RG","2009-05-30","2021-03-12","377"
"847884243888","Titulo","2011-10-29","2021-02-11","377"
"453345493-75","CPF","2016-11-07","2021-03-28","378"
"6748127-6","RG","2013-12-03","2021-04-22","378"
"338771867333","Titulo","2011-05-23","2021-04-04","378"
"144214535-13","CPF","2018-06-08","2021-03-01","379"
"5126397-7","RG","2011-06-26","2021-04-27","379"
"954478871785","Titulo","2007-05-10","2021-02-28","379"
"366587148-22","CPF","2019-11-20","2021-01-16","380"
"3863173-8","RG","2020-11-15","2021-04-17","380"
"547675277529","Titulo","2017-03-11","2021-04-26","380"
"285879465-37","CPF","2006-05-23","2021-04-04","381"
"7849556-8","RG","2007-11-16","2021-04-03","381"
"654582684853","Titulo","2019-03-05","2021-01-15","381"
"457839938-54","CPF","2020-04-21","2021-04-15","382"
"4327619-2","RG","2008-08-13","2021-03-25","382"
"495856476237","Titulo","2012-02-22","2021-01-01","382"
"775575243-45","CPF","2016-03-12","2021-01-08","383"
"1648752-1","RG","2008-04-22","2021-02-19","383"
"623442516726","Titulo","2012-12-16","2021-01-15","383"
"524283585-68","CPF","2007-09-16","2021-03-24","384"
"8925924-2","RG","2019-10-13","2021-03-19","384"
"295234642822","Titulo","2007-09-27","2021-04-29","384"
"926384385-45","CPF","2005-07-22","2021-02-17","385"
"8556738-7","RG","2011-04-07","2021-04-28","385"
"251746256625","Titulo","2006-04-27","2021-01-24","385"
"855887563-55","CPF","2016-05-10","2021-03-28","386"
"1656224-2","RG","2006-04-17","2021-02-26","386"
"833645847543","Titulo","2005-05-07","2021-04-14","386"
"754438362-82","CPF","2005-05-07","2021-01-19","387"
"2862347-7","RG","2015-06-10","2021-03-23","387"
"319876383264","Titulo","2005-06-08","2021-02-18","387"
"474244974-88","CPF","2007-12-04","2021-01-07","388"
"8158457-4","RG","2017-12-14","2021-02-01","388"
"347324763338","Titulo","2018-09-06","2021-02-08","388"
"612577477-16","CPF","2010-08-12","2021-01-21","389"
"8575743-1","RG","2008-08-30","2021-02-07","389"
"577848578474","Titulo","2011-10-29","2021-02-04","389"
"387356487-65","CPF","2014-03-09","2021-04-28","390"
"4222423-9","RG","2013-11-20","2021-02-07","390"
"564273865778","Titulo","2007-06-10","2021-02-11","390"
"555762646-56","CPF","2020-11-08","2021-01-23","391"
"4661783-7","RG","2015-06-24","2021-02-28","391"
"592348777978","Titulo","2010-09-21","2021-04-05","391"
"277717273-89","CPF","2012-02-09","2021-04-16","392"
"9459228-4","RG","2006-03-29","2021-01-01","392"
"523584753286","Titulo","2014-05-19","2021-03-08","392"
"768437671-74","CPF","2011-12-01","2021-04-08","393"
"5827568-7","RG","2014-02-19","2021-01-22","393"
"735246555626","Titulo","2012-03-31","2021-04-18","393"
"291286839-82","CPF","2017-02-15","2021-03-17","394"
"8425549-8","RG","2008-02-05","2021-03-30","394"
"235933724246","Titulo","2006-06-03","2021-02-06","394"
"637123852-16","CPF","2006-08-16","2021-03-11","395"
"2363782-5","RG","2016-06-30","2021-02-23","395"
"288644767256","Titulo","2008-07-18","2021-05-01","395"
"948388672-81","CPF","2016-07-27","2021-01-20","396"
"6674316-3","RG","2015-09-21","2021-04-15","396"
"927393553238","Titulo","2006-07-31","2021-04-30","396"
"164549841-36","CPF","2013-11-22","2021-02-10","397"
"7777537-4","RG","2008-08-16","2021-02-20","397"
"723574533255","Titulo","2005-10-03","2021-03-06","397"
"534942348-32","CPF","2017-11-11","2021-02-06","398"
"8213321-3","RG","2020-06-20","2021-02-01","398"
"536753131575","Titulo","2015-04-06","2021-02-21","398"
"332772284-57","CPF","2012-08-04","2021-01-23","399"
"2279233-9","RG","2014-11-01","2021-02-09","399"
"163782833985","Titulo","2008-12-24","2021-04-15","399"
"814824943-36","CPF","2012-07-15","2021-04-13","400"
"6714336-1","RG","2012-03-22","2021-04-01","400"
"544485575874","Titulo","2020-10-28","2021-02-03","400"
"758438573-38","CPF","2020-01-30","2021-03-09","401"
"7759532-7","RG","2010-03-06","2021-01-19","401"
"337855262355","Titulo","2007-04-04","2021-01-20","401"
"373264945-53","CPF","2010-07-01","2021-01-12","402"
"2268759-8","RG","2006-03-04","2021-04-17","402"
"882141258257","Titulo","2012-09-22","2021-03-24","402"
"659537675-86","CPF","2012-12-03","2021-04-16","403"
"2655764-3","RG","2010-01-23","2021-04-29","403"
"595331497782","Titulo","2018-03-17","2021-01-26","403"
"323514283-98","CPF","2018-02-04","2021-01-13","404"
"5281363-1","RG","2013-02-26","2021-04-18","404"
"413762348245","Titulo","2010-09-30","2021-02-23","404"
"568373628-22","CPF","2007-03-30","2021-04-17","405"
"8592537-4","RG","2011-01-09","2021-04-25","405"
"214482268578","Titulo","2013-05-28","2021-04-13","405"
"678932632-83","CPF","2009-06-24","2021-02-07","406"
"2262793-6","RG","2005-01-21","2021-03-14","406"
"272437448722","Titulo","2009-05-01","2021-01-23","406"
"348522158-65","CPF","2012-07-30","2021-02-04","407"
"1371565-5","RG","2006-07-15","2021-04-16","407"
"548826274168","Titulo","2012-03-22","2021-04-06","407"
"883582354-74","CPF","2017-12-22","2021-03-05","408"
"8452933-4","RG","2005-01-22","2021-03-08","408"
"665723562232","Titulo","2019-09-15","2021-04-20","408"
"156347365-74","CPF","2016-11-30","2021-02-06","409"
"6219485-2","RG","2013-04-18","2021-02-15","409"
"478375652923","Titulo","2016-10-22","2021-04-05","409"
"439465468-54","CPF","2010-01-16","2021-03-19","410"
"5763682-6","RG","2011-08-08","2021-05-01","410"
"913553842824","Titulo","2019-01-24","2021-03-20","410"
"782181839-72","CPF","2007-12-03","2021-04-14","411"
"3541239-7","RG","2020-01-14","2021-04-05","411"
"322571571749","Titulo","2009-12-26","2021-02-18","411"
"778332489-84","CPF","2015-01-27","2021-02-15","412"
"6466656-7","RG","2006-07-01","2021-01-24","412"
"132484217775","Titulo","2014-03-02","2021-01-05","412"
"637195584-23","CPF","2009-03-27","2021-04-11","413"
"3568329-4","RG","2008-07-29","2021-02-18","413"
"777734262249","Titulo","2014-01-15","2021-02-18","413"
"755422773-15","CPF","2010-12-31","2021-04-28","414"
"5627884-1","RG","2016-12-03","2021-01-16","414"
"154753278267","Titulo","2012-05-25","2021-04-04","414"
"675873659-54","CPF","2010-08-07","2021-04-09","415"
"7559354-5","RG","2008-02-26","2021-02-14","415"
"911135256327","Titulo","2011-08-16","2021-04-22","415"
"296177886-72","CPF","2018-12-04","2021-02-06","416"
"5346883-6","RG","2018-01-09","2021-02-07","416"
"363435775974","Titulo","2020-11-09","2021-02-05","416"
"278472522-29","CPF","2018-11-13","2021-01-06","417"
"6358815-6","RG","2018-12-26","2021-01-08","417"
"464996166753","Titulo","2014-03-13","2021-01-21","417"
"737652853-76","CPF","2009-09-02","2021-02-09","418"
"5265174-5","RG","2006-10-29","2021-01-14","418"
"447578222992","Titulo","2005-06-10","2021-02-02","418"
"244755312-75","CPF","2011-12-05","2021-01-13","419"
"4366987-8","RG","2011-05-10","2021-04-10","419"
"445121573147","Titulo","2016-01-21","2021-03-03","419"
"594571676-88","CPF","2010-06-15","2021-02-08","420"
"4267685-6","RG","2013-05-09","2021-02-16","420"
"988297464446","Titulo","2017-03-26","2021-02-14","420"
"986746694-74","CPF","2011-06-28","2021-01-21","421"
"5574522-5","RG","2017-11-14","2021-03-25","421"
"646454283735","Titulo","2019-04-04","2021-01-23","421"
"759268466-87","CPF","2018-10-19","2021-02-19","422"
"6543532-2","RG","2011-09-26","2021-02-06","422"
"836367428875","Titulo","2008-02-29","2021-01-15","422"
"638846564-18","CPF","2012-10-04","2021-03-08","423"
"9951256-8","RG","2014-08-01","2021-02-18","423"
"396542942465","Titulo","2007-03-16","2021-03-10","423"
"283334751-24","CPF","2014-04-27","2021-03-10","424"
"6223245-4","RG","2008-12-21","2021-01-25","424"
"783255673786","Titulo","2014-12-02","2021-04-11","424"
"924315835-89","CPF","2013-11-17","2021-01-21","425"
"9978247-8","RG","2012-02-06","2021-02-27","425"
"195356529542","Titulo","2011-04-06","2021-04-27","425"
"241338512-87","CPF","2008-10-25","2021-02-26","426"
"6423738-4","RG","2015-03-05","2021-01-02","426"
"387741634395","Titulo","2005-08-17","2021-01-16","426"
"799634192-25","CPF","2013-10-24","2021-04-23","427"
"9716829-3","RG","2019-02-26","2021-03-06","427"
"658511466411","Titulo","2015-09-18","2021-01-06","427"
"468251758-75","CPF","2018-07-28","2021-02-20","428"
"2253872-6","RG","2018-12-21","2021-04-21","428"
"933956161585","Titulo","2005-01-11","2021-01-21","428"
"512544354-65","CPF","2017-06-25","2021-03-23","429"
"2488227-5","RG","2015-06-12","2021-01-03","429"
"772527927332","Titulo","2017-04-18","2021-02-27","429"
"136428292-12","CPF","2006-05-26","2021-04-29","430"
"8652237-6","RG","2006-12-16","2021-02-08","430"
"516878747665","Titulo","2018-05-07","2021-04-23","430"
"442262658-22","CPF","2016-12-07","2021-03-19","431"
"3467783-7","RG","2007-02-12","2021-01-19","431"
"238366535668","Titulo","2018-06-07","2021-03-28","431"
"786546826-74","CPF","2005-08-29","2021-04-02","432"
"2661286-5","RG","2006-07-24","2021-02-18","432"
"571967176655","Titulo","2018-03-11","2021-03-06","432"
"981847373-72","CPF","2017-05-27","2021-03-25","433"
"2697495-1","RG","2015-10-06","2021-03-16","433"
"447453647873","Titulo","2005-11-27","2021-02-16","433"
"169619148-45","CPF","2005-08-07","2021-04-17","434"
"8573862-4","RG","2019-12-24","2021-01-27","434"
"328553775532","Titulo","2011-12-24","2021-01-31","434"
"322752275-86","CPF","2017-07-12","2021-04-04","435"
"7337459-4","RG","2017-10-21","2021-04-16","435"
"567332464389","Titulo","2008-04-17","2021-03-28","435"
"213252523-13","CPF","2016-03-07","2021-01-28","436"
"6765875-3","RG","2019-10-18","2021-04-19","436"
"243635462273","Titulo","2012-03-08","2021-02-20","436"
"822722343-82","CPF","2015-02-03","2021-03-21","437"
"4788677-6","RG","2017-11-09","2021-04-21","437"
"343596992663","Titulo","2018-11-18","2021-03-24","437"
"527218326-15","CPF","2010-02-08","2021-01-24","438"
"3662479-3","RG","2019-07-17","2021-03-27","438"
"146845792838","Titulo","2013-06-13","2021-03-27","438"
"661244137-63","CPF","2016-12-06","2021-04-22","439"
"5873864-8","RG","2009-07-25","2021-03-24","439"
"827126539833","Titulo","2007-12-05","2021-04-01","439"
"489731423-33","CPF","2018-08-15","2021-03-24","440"
"8598223-8","RG","2012-11-04","2021-01-23","440"
"831327997317","Titulo","2018-09-25","2021-03-31","440"
"643253776-57","CPF","2019-01-30","2021-04-25","441"
"3652851-1","RG","2007-12-04","2021-02-19","441"
"436243897292","Titulo","2006-04-08","2021-02-12","441"
"743965252-48","CPF","2018-12-01","2021-04-24","442"
"4465511-5","RG","2008-05-03","2021-02-14","442"
"598769563787","Titulo","2018-04-02","2021-01-03","442"
"477747657-57","CPF","2009-05-30","2021-01-28","443"
"1623542-2","RG","2008-12-21","2021-03-01","443"
"777457856741","Titulo","2014-05-04","2021-04-03","443"
"334426479-34","CPF","2007-06-02","2021-02-14","444"
"3923826-6","RG","2012-12-03","2021-03-18","444"
"227364134847","Titulo","2010-12-19","2021-01-01","444"
"546485583-82","CPF","2019-03-18","2021-03-19","445"
"5437736-4","RG","2015-02-17","2021-01-13","445"
"571439149349","Titulo","2018-01-20","2021-04-29","445"
"693637586-87","CPF","2009-01-17","2021-02-03","446"
"3581226-3","RG","2008-09-13","2021-04-02","446"
"998979683945","Titulo","2013-08-17","2021-04-01","446"
"666712627-68","CPF","2008-01-22","2021-04-25","447"
"1758443-3","RG","2008-06-26","2021-01-24","447"
"497126759627","Titulo","2012-09-25","2021-01-11","447"
"279675744-68","CPF","2008-08-09","2021-04-16","448"
"6256139-7","RG","2020-09-15","2021-03-27","448"
"824537848185","Titulo","2011-04-25","2021-03-04","448"
"889268665-82","CPF","2016-11-02","2021-01-16","449"
"5316167-8","RG","2016-03-26","2021-01-23","449"
"656456274949","Titulo","2016-01-26","2021-04-29","449"
"874932157-82","CPF","2011-02-25","2021-01-28","450"
"6277418-1","RG","2016-04-22","2021-02-14","450"
"318829833971","Titulo","2015-09-25","2021-02-18","450"
"826773375-48","CPF","2020-03-08","2021-01-25","451"
"8284857-5","RG","2015-03-05","2021-05-01","451"
"528283788862","Titulo","2005-12-24","2021-01-18","451"
"443177157-17","CPF","2011-07-01","2021-04-03","452"
"5178513-2","RG","2009-03-04","2021-02-01","452"
"824367626424","Titulo","2017-01-23","2021-03-26","452"
"829827226-13","CPF","2007-06-25","2021-04-20","453"
"4246863-7","RG","2016-12-21","2021-04-10","453"
"654136162168","Titulo","2020-05-22","2021-03-08","453"
"725618876-43","CPF","2020-11-07","2021-04-07","454"
"4864668-7","RG","2017-10-27","2021-04-02","454"
"575824677348","Titulo","2017-11-07","2021-04-11","454"
"517234852-79","CPF","2007-05-02","2021-02-22","455"
"7252215-4","RG","2005-12-09","2021-03-12","455"
"134482687496","Titulo","2016-05-03","2021-04-30","455"
"387268913-96","CPF","2019-11-17","2021-02-16","456"
"1136952-2","RG","2020-11-13","2021-03-29","456"
"857143986583","Titulo","2009-07-11","2021-02-01","456"
"772336438-96","CPF","2016-05-06","2021-02-09","457"
"6273367-6","RG","2011-11-12","2021-02-17","457"
"536186649545","Titulo","2008-11-20","2021-01-03","457"
"355989721-56","CPF","2005-04-20","2021-04-28","458"
"3797754-2","RG","2010-07-17","2021-02-21","458"
"562857382237","Titulo","2018-08-19","2021-02-25","458"
"262416775-24","CPF","2019-04-23","2021-04-10","459"
"7587843-3","RG","2017-02-25","2021-04-16","459"
"479886652329","Titulo","2009-01-18","2021-03-10","459"
"945999738-55","CPF","2011-03-14","2021-01-19","460"
"8149625-6","RG","2012-12-20","2021-03-19","460"
"255561514772","Titulo","2013-10-10","2021-02-05","460"
"722898213-77","CPF","2009-11-05","2021-03-21","461"
"2223575-9","RG","2006-03-07","2021-04-27","461"
"896856643733","Titulo","2006-05-13","2021-01-03","461"
"989337417-12","CPF","2012-04-11","2021-03-06","462"
"2243643-2","RG","2013-03-11","2021-03-30","462"
"332541852973","Titulo","2009-09-11","2021-02-05","462"
"277675897-75","CPF","2007-01-01","2021-04-25","463"
"5465142-7","RG","2015-09-28","2021-02-13","463"
"973263368623","Titulo","2007-04-09","2021-04-22","463"
"476566947-85","CPF","2015-04-24","2021-03-28","464"
"1552572-5","RG","2010-09-12","2021-04-14","464"
"949284448973","Titulo","2020-05-14","2021-01-16","464"
"387797187-48","CPF","2007-06-12","2021-03-25","465"
"5723332-2","RG","2019-02-05","2021-01-06","465"
"967515358429","Titulo","2008-01-21","2021-03-20","465"
"659212835-65","CPF","2018-02-14","2021-04-22","466"
"3733332-9","RG","2013-09-12","2021-01-12","466"
"851754843358","Titulo","2017-08-01","2021-03-06","466"
"646318464-18","CPF","2019-04-28","2021-03-18","467"
"4747226-7","RG","2010-11-02","2021-03-26","467"
"529166862398","Titulo","2018-09-14","2021-01-11","467"
"299758972-63","CPF","2015-06-11","2021-02-26","468"
"8785649-6","RG","2007-05-04","2021-04-11","468"
"279239937743","Titulo","2013-02-02","2021-03-21","468"
"435737277-64","CPF","2008-12-13","2021-02-21","469"
"7436523-6","RG","2015-11-07","2021-02-06","469"
"543395562353","Titulo","2011-09-18","2021-02-24","469"
"212529743-58","CPF","2007-03-03","2021-02-07","470"
"4174736-5","RG","2011-07-09","2021-01-24","470"
"275765488662","Titulo","2007-09-22","2021-04-05","470"
"473429284-43","CPF","2009-10-03","2021-03-10","471"
"5162986-4","RG","2018-04-21","2021-03-15","471"
"975568778968","Titulo","2009-08-05","2021-04-29","471"
"456298748-62","CPF","2020-05-07","2021-03-12","472"
"7922867-7","RG","2012-05-06","2021-02-07","472"
"345528113754","Titulo","2006-10-05","2021-03-18","472"
"127833561-67","CPF","2008-07-19","2021-01-22","473"
"6865663-6","RG","2014-05-20","2021-02-25","473"
"578946355432","Titulo","2018-11-08","2021-03-11","473"
"325268916-94","CPF","2017-02-19","2021-02-07","474"
"9261469-3","RG","2013-02-16","2021-03-31","474"
"473633646152","Titulo","2005-07-18","2021-02-09","474"
"291329938-73","CPF","2007-10-07","2021-04-20","475"
"5564787-5","RG","2014-03-24","2021-04-19","475"
"164286256374","Titulo","2007-09-19","2021-03-03","475"
"875576724-49","CPF","2012-04-26","2021-02-25","476"
"4548535-5","RG","2015-12-04","2021-04-29","476"
"884443984333","Titulo","2016-02-16","2021-01-12","476"
"516672938-78","CPF","2020-10-02","2021-03-17","477"
"7495526-7","RG","2008-08-18","2021-03-31","477"
"886254227466","Titulo","2007-09-28","2021-04-08","477"
"967335121-68","CPF","2016-06-14","2021-03-13","478"
"2772857-6","RG","2017-12-17","2021-02-13","478"
"272884724771","Titulo","2020-06-09","2021-02-22","478"
"634534286-57","CPF","2013-07-01","2021-03-11","479"
"5645368-3","RG","2016-12-07","2021-02-20","479"
"257851591338","Titulo","2017-06-17","2021-02-18","479"
"346571191-61","CPF","2016-12-23","2021-01-29","480"
"3737827-9","RG","2018-11-22","2021-04-22","480"
"482835931796","Titulo","2009-12-28","2021-04-26","480"
"122862451-14","CPF","2013-04-17","2021-04-25","481"
"6479734-7","RG","2006-03-19","2021-02-14","481"
"886146387359","Titulo","2017-11-11","2021-02-11","481"
"333257722-24","CPF","2011-05-27","2021-03-17","482"
"1325955-3","RG","2017-11-13","2021-03-13","482"
"181888529286","Titulo","2005-03-18","2021-04-17","482"
"882658673-13","CPF","2006-06-11","2021-03-03","483"
"7641297-8","RG","2020-07-07","2021-02-15","483"
"711869225682","Titulo","2016-02-06","2021-02-07","483"
"676242445-32","CPF","2013-02-11","2021-05-01","484"
"5511265-8","RG","2015-11-18","2021-03-25","484"
"887654792313","Titulo","2011-06-17","2021-03-26","484"
"463517278-82","CPF","2013-05-31","2021-03-01","485"
"1469652-9","RG","2009-12-25","2021-04-14","485"
"811566332435","Titulo","2008-04-16","2021-01-04","485"
"614376285-16","CPF","2011-08-19","2021-03-26","486"
"2835839-7","RG","2010-12-06","2021-03-16","486"
"561494527662","Titulo","2006-08-31","2021-02-23","486"
"682856682-52","CPF","2010-10-15","2021-03-05","487"
"2585893-3","RG","2006-10-17","2021-02-04","487"
"227963581228","Titulo","2019-04-20","2021-03-18","487"
"333648188-63","CPF","2010-05-30","2021-01-03","488"
"1523277-5","RG","2010-05-08","2021-03-28","488"
"747973954448","Titulo","2008-12-05","2021-04-11","488"
"844355364-46","CPF","2014-08-23","2021-01-22","489"
"3832472-3","RG","2006-01-12","2021-01-23","489"
"887526987755","Titulo","2016-05-02","2021-01-21","489"
"767477122-32","CPF","2020-12-18","2021-01-15","490"
"8228375-5","RG","2008-08-21","2021-04-30","490"
"786795558663","Titulo","2006-04-05","2021-03-17","490"
"275614227-37","CPF","2007-09-07","2021-02-09","491"
"3582658-8","RG","2005-05-30","2021-04-20","491"
"126435764256","Titulo","2019-11-02","2021-03-26","491"
"795237147-13","CPF","2020-08-09","2021-01-10","492"
"2931426-8","RG","2013-10-26","2021-01-28","492"
"233577266855","Titulo","2018-03-13","2021-03-03","492"
"776786613-34","CPF","2020-03-06","2021-01-31","493"
"5338481-6","RG","2019-11-03","2021-03-03","493"
"554366523237","Titulo","2008-01-28","2021-01-25","493"
"375566143-47","CPF","2020-04-12","2021-02-23","494"
"4793695-4","RG","2016-06-22","2021-04-30","494"
"761357672926","Titulo","2009-07-18","2021-02-06","494"
"744528241-97","CPF","2012-10-01","2021-04-07","495"
"3292258-9","RG","2017-12-11","2021-04-28","495"
"346389683152","Titulo","2008-05-22","2021-04-04","495"
"546145595-52","CPF","2018-01-08","2021-04-04","496"
"3555845-9","RG","2012-08-02","2021-04-23","496"
"672735452688","Titulo","2008-01-16","2021-03-21","496"
"538445396-25","CPF","2014-03-13","2021-03-12","497"
"4233571-1","RG","2009-10-15","2021-04-19","497"
"462271929876","Titulo","2012-04-22","2021-02-18","497"
"762835341-46","CPF","2011-09-15","2021-01-16","498"
"1754935-7","RG","2016-11-26","2021-03-16","498"
"468376554547","Titulo","2008-05-15","2021-04-27","498"
"736684332-81","CPF","2012-09-20","2021-01-01","499"
"3755179-7","RG","2014-01-31","2021-02-02","499"
"991936244768","Titulo","2007-03-14","2021-04-21","499"
"774536247-22","CPF","2006-02-12","2021-03-14","500"
"2445768-7","RG","2013-10-30","2021-03-18","500"
"421444312825","Titulo","2010-05-27","2021-01-17","500"
"468393655-29","CPF","2013-01-29","2021-03-29","501"
"3638114-6","RG","2008-03-22","2021-03-02","501"
"483393582623","Titulo","2008-01-08","2021-01-25","501"
"231657323-76","CPF","2015-06-23","2021-02-28","502"
"6766381-6","RG","2009-01-21","2021-03-02","502"
"275518649986","Titulo","2018-06-10","2021-01-31","502"
"463225797-87","CPF","2007-03-11","2021-02-01","503"
"4482651-2","RG","2006-03-05","2021-01-11","503"
"722536379139","Titulo","2016-07-24","2021-01-23","503"
"265843822-65","CPF","2006-11-07","2021-03-21","504"
"4528627-6","RG","2018-09-10","2021-02-13","504"
"455252534834","Titulo","2014-03-15","2021-01-25","504"
"315956218-66","CPF","2013-05-07","2021-02-13","505"
"6732795-7","RG","2014-10-28","2021-02-17","505"
